Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,122.255997,128.990005,101.430000,106.209999,106.209999,1767601100
2022-07-01,106.290001,137.649994,105.849998,134.949997,134.949997,1337852600
2022-08-01,134.960007,146.570007,126.739998,126.769997,126.769997,1170449000
2022-09-01,126.000000,136.490005,112.059998,113.000000,113.000000,1210487600
2022-10-01,113.580002,123.000000,97.660004,102.440002,102.440002,1459311500
2022-11-01,103.989998,104.580002,85.870003,96.540001,96.540001,2035133200
2022-12-01,96.989998,97.230003,81.690002,84.000000,84.000000,1549193300
2023-01-01,85.459999,103.489998,81.430000,103.129997,103.129997,1523798600
2023-02-01,102.529999,114.000000,92.320000,94.230003,94.230003,1364102000
2023-03-01,93.870003,103.489998,88.120003,103.290001,103.290001,1349240300
2023-04-01,102.300003,110.860001,97.709999,105.449997,105.449997,1224083600
2023-05-01,104.949997,106.099998,101.150002,105.830002,105.830002,364905400
2023-05-08,105.040001,106.095001,104.709801,105.830002,105.830002,46863632
